"","Protein","Gene","Description","Fold_Change","p_Value"
"911","COX5A_MOUSE|P12787","Cox5a","Cytochrome c oxidase subunit 5A, mitochondrial",1.44,0.0895
"912","COX5B_MOUSE|P19536","Cox5b","Cytochrome c oxidase subunit 5B, mitochondrial",1.5,0.0296
"913","COX6C_MOUSE|Q9CPQ1","Cox6c","Cytochrome c oxidase subunit 6C",1.07,0.429
"914","COX7C_MOUSE|P17665","Cox7c","Cytochrome c oxidase subunit 7C, mitochondrial",1.13,0.408
"915","CP062_MOUSE|Q8BWQ6","","UPF0505 protein C16orf62 homolog",1.66,0.0034
"916","CP070_MOUSE|Q922R1","","UPF0183 protein C16orf70 homolog",1.42,0.0316
"917","CP110_MOUSE|Q7TSH4","Ccp110","Centriolar coiled-coil protein of 110 kDa",2.43,0.00238
"918","CP131_MOUSE|Q62036","Cep131","Centrosomal protein of 131 kDa",2.47,0.00111
"919","CP46A_MOUSE|Q9WVK8","Cyp46a1","Cholesterol 24-hydroxylase",1.55,0.0217
"920","CPEB2_MOUSE|Q812E0","Cpeb2","Cytoplasmic polyadenylation element-binding protein 2",1.85,0.000896
"921","CPEB3_MOUSE|Q7TN99","Cpeb3","Cytoplasmic polyadenylation element-binding protein 3",2.35,0.000668
"922","CPEB4_MOUSE|Q7TN98","Cpeb4","Cytoplasmic polyadenylation element-binding protein 4",1.69,0.0142
"923","CPIN1_MOUSE|Q8WTY4","Ciapin1","Anamorsin",3,0.000485
"924","CPLX1_MOUSE|P63040","Cplx1","Complexin-1",2.79,0.000817
"925","CPLX2_MOUSE|P84086","Cplx2","Complexin-2",2.36,0.00112
"926","CPLX3_MOUSE|Q8R1B5","Cplx3","Complexin-3",2.28,0.00148
"927","CPNE1_MOUSE|Q8C166","Cpne1","Copine-1",1.32,0.0266
"928","CPNE2_MOUSE|P59108","Cpne2","Copine-2",1.12,0.178
"929","CPNE3_MOUSE|Q8BT60","Cpne3","Copine-3",1.11,0.192
"930","CPNE4_MOUSE|Q8BLR2","Cpne4","Copine-4",1.04,0.403
"931","CPNE5_MOUSE|Q8JZW4","Cpne5","Copine-5",-1.19,0.587
"932","CPNE6_MOUSE|Q9Z140","Cpne6","Copine-6",1.23,0.04
"933","CPNE7_MOUSE|Q0VE82","Cpne7","Copine-7",1.83,0.000861
"934","CPNE9_MOUSE|Q1RLL3","Cpne9","Copine-9",1.34,0.00815
"935","CPNS1_MOUSE|O88456","Capns1","Calpain small subunit 1",1.11,0.0552
"936","CPSF2_MOUSE|O35218","Cpsf2","Cleavage and polyadenylation specificity factor subunit 2",1.23,0.0427
"937","CPSF5_MOUSE|Q9CQF3","Nudt21","Cleavage and polyadenylation specificity factor subunit 5",1.51,0.00377
"938","CPSF6_MOUSE|Q6NVF9","Cpsf6","Cleavage and polyadenylation specificity factor subunit 6",1.56,0.000829
"939","CPSF7_MOUSE|Q8BTV2","Cpsf7","Cleavage and polyadenylation specificity factor subunit 7",1.48,0.00783
"940","CPT1A_MOUSE|P97742","Cpt1a","Carnitine O-palmitoyltransferase 1, liver isoform",1.2,0.0924
"941","CPT1C_MOUSE|Q8BGD5","Cpt1c","Carnitine O-palmitoyltransferase 1, brain isoform",1.42,0.0196
"942","CPT2_MOUSE|P52825","Cpt2","Carnitine O-palmitoyltransferase 2, mitochondrial",1.15,0.0848
"943","CQ062_MOUSE|Q3TYS2","","Uncharacterized protein C17orf62 homolog",1.08,0.352
"944","CR025_MOUSE|Q8BH50","","Uncharacterized protein C18orf25 homolog",2.58,0.000825
"945","CRAC1_MOUSE|Q8R555","Crtac1","Cartilage acidic protein 1",-1.1,0.357
"946","CRBG3_MOUSE|Q80W49","Crybg3","Beta/gamma crystallin domain-containing protein 3",2.37,0.00248
"947","CRBG3_MOUSE|Q80W49-2","Crybg3","Beta/gamma crystallin domain-containing protein 3 (isoform 2)",2.86,0.000738
"948","CRBN_MOUSE|Q8C7D2","Crbn","Protein cereblon",2.03,0.000334
"949","CREL1_MOUSE|Q91XD7","Creld1","Cysteine-rich with EGF-like domain protein 1",1.11,0.436
"950","CRIP2_MOUSE|Q9DCT8","Crip2","Cysteine-rich protein 2",1.87,0.00219
"951","CRK_MOUSE|Q64010","Crk","Adapter molecule crk",1.99,0.000572
"952","CRKL_MOUSE|P47941","Crkl","Crk-like protein",2.34,0.00031
"953","CROCC_MOUSE|Q8CJ40","Crocc","Rootletin",1.56,0.00499
"954","CRTC1_MOUSE|Q68ED7","Crtc1","CREB-regulated transcription coactivator 1",2.53,0.000977
"955","CRYAB_MOUSE|P23927","Cryab","Alpha-crystallin B chain",1.12,0.359
"956","CRYL1_MOUSE|Q99KP3","Cryl1","Lambda-crystallin homolog",1.46,0.0219
"957","CRYM_MOUSE|O54983","Crym","Ketimine reductase mu-crystallin",1.34,0.0418
"958","CSC1_MOUSE|Q8CBX0","Tmem63c","Calcium permeable stress-gated cation channel 1",1.28,0.0275
"959","CSDE1_MOUSE|Q91W50","Csde1","Cold shock domain-containing protein E1",2.65,0.000616
"960","CSK_MOUSE|P41241","Csk","Tyrosine-protein kinase CSK",1.41,0.0512
"961","CSK21_MOUSE|Q60737","Csnk2a1","Casein kinase II subunit alpha",1.28,0.114
"962","CSK22_MOUSE|O54833","Csnk2a2","Casein kinase II subunit alpha'",1.98,0.000393
"963","CSK2B_MOUSE|P67871","Csnk2b","Casein kinase II subunit beta",1.43,0.0241
"964","CSKI1_MOUSE|Q6P9K8","Caskin1","Caskin-1",2.88,0.00045
"965","CSKP_MOUSE|O70589","Cask","Peripheral plasma membrane protein CASK",1.55,0.00275
"966","CSN1_MOUSE|Q99LD4","Gps1","COP9 signalosome complex subunit 1",1.38,0.0022
"967","CSN2_MOUSE|P61202","Cops2","COP9 signalosome complex subunit 2",1.43,0.0627
"968","CSN3_MOUSE|O88543","Cops3","COP9 signalosome complex subunit 3",1.39,0.0205
"969","CSN4_MOUSE|O88544","Cops4","COP9 signalosome complex subunit 4",1.32,0.151
"970","CSN5_MOUSE|O35864","Cops5","COP9 signalosome complex subunit 5",1.4,0.00491
"971","CSN6_MOUSE|O88545","Cops6","COP9 signalosome complex subunit 6",1.28,0.154
"972","CSN7A_MOUSE|Q9CZ04","Cops7a","COP9 signalosome complex subunit 7a",2.1,0.000669
"973","CSN7B_MOUSE|Q8BV13","Cops7b","COP9 signalosome complex subunit 7b",1.47,0.00245
"974","CSN8_MOUSE|Q8VBV7","Cops8","COP9 signalosome complex subunit 8",1.16,0.306
"975","CSPG2_MOUSE|Q62059","Vcan","Versican core protein",1.12,0.274
"976","CSPG4_MOUSE|Q8VHY0","Cspg4","Chondroitin sulfate proteoglycan 4",1.03,0.8
"977","CSPG5_MOUSE|Q71M36","Cspg5","Chondroitin sulfate proteoglycan 5",1.34,0.035
"978","CSRP1_MOUSE|P97315","Csrp1","Cysteine and glycine-rich protein 1",1.31,0.0902
"979","CSTF2_MOUSE|Q8BIQ5","Cstf2","Cleavage stimulation factor subunit 2",1.47,0.00306
"980","CSTF3_MOUSE|Q99LI7","Cstf3","Cleavage stimulation factor subunit 3",1.5,0.0312
"981","CSTFT_MOUSE|Q8C7E9","Cstf2t","Cleavage stimulation factor subunit 2 tau variant",1.25,0.0909
"982","CSTN1_MOUSE|Q9EPL2","Clstn1","Calsyntenin-1",1.13,0.246
"983","CSTN3_MOUSE|Q99JH7","Clstn3","Calsyntenin-3",1.06,0.372
"984","CT027_MOUSE|Q9D1K7","","UPF0687 protein C20orf27 homolog",1.62,0.016
"985","CT2NL_MOUSE|Q99LJ0","Cttnbp2nl","CTTNBP2 N-terminal-like protein",2.37,0.00131
"986","CTBP1_MOUSE|O88712","Ctbp1","C-terminal-binding protein 1",1.84,0.000602
"987","CTDP1_MOUSE|Q7TSG2","Ctdp1","RNA polymerase II subunit A C-terminal domain phosphatase",2.37,0.000323
"988","CTGF_MOUSE|P29268","Ctgf","Connective tissue growth factor",1.02,0.861
"989","CTL1_MOUSE|Q6X893","Slc44a1","Choline transporter-like protein 1",1.09,0.577
"990","CTL2_MOUSE|Q8BY89","Slc44a2","Choline transporter-like protein 2",1.38,0.249
"991","CTNA1_MOUSE|P26231","Ctnna1","Catenin alpha-1",1.75,9.91e-05
"992","CTNA2_MOUSE|Q61301","Ctnna2","Catenin alpha-2",2.41,0.000616
"993","CTNB1_MOUSE|Q02248","Ctnnb1","Catenin beta-1",1.83,0.0012
"994","CTND1_MOUSE|P30999","Ctnnd1","Catenin delta-1",2.04,0.000787
"995","CTND2_MOUSE|O35927","Ctnnd2","Catenin delta-2",2.54,0.000763
"996","CTRO_MOUSE|P49025","Cit","Citron Rho-interacting kinase",2.81,0.00014
"997","CTSEL_MOUSE|A0A0A6YXX9",NA,NA,-1.04,0.923
"998","CTTB2_MOUSE|B9EJA2","Cttnbp2","Cortactin-binding protein 2",2.52,0.000815
"999","CUL1_MOUSE|Q9WTX6","Cul1","Cullin-1",1.45,0.0105
"1000","CUL2_MOUSE|Q9D4H8","Cul2","Cullin-2",1.42,0.00882
"1001","CUL3_MOUSE|Q9JLV5","Cul3","Cullin-3",1.54,0.00205
"1002","CUL4A_MOUSE|Q3TCH7","Cul4a","Cullin-4A",1.52,0.00116
"1003","CUL4B_MOUSE|A2A432","Cul4b","Cullin-4B",1.66,0.00149
"1004","CUL5_MOUSE|Q9D5V5","Cul5","Cullin-5",1.53,0.0071
"1005","CUL9_MOUSE|Q80TT8","Cul9","Cullin-9",1.2,0.554
"1006","CUTC_MOUSE|Q9D8X1","Cutc","Copper homeostasis protein cutC homolog",2.18,0.000209
"1007","CWC15_MOUSE|Q9JHS9","Cwc15","Spliceosome-associated protein CWC15 homolog",1.42,0.116
"1008","CWC27_MOUSE|Q3TKY6","Cwc27","Peptidyl-prolyl cis-trans isomerase CWC27 homolog",2.67,0.00051
"1009","CX6B1_MOUSE|P56391","Cox6b1","Cytochrome c oxidase subunit 6B1",1.39,0.207
"1010","CX7A1_MOUSE|P56392","Cox7a1","Cytochrome c oxidase subunit 7A1, mitochondrial",1.26,0.0989
"1011","CX7A2_MOUSE|P48771","Cox7a2","Cytochrome c oxidase subunit 7A2, mitochondrial",1.11,0.487
"1012","CXA1_MOUSE|P23242","Gja1","Gap junction alpha-1 protein",1.19,0.232
"1013","CXAR_MOUSE|P97792","Cxadr","Coxsackievirus and adenovirus receptor homolog",2.1,0.00185
"1014","CXG2_MOUSE|Q8BQU6","Gjc2","Gap junction gamma-2 protein",1.21,0.244
"1015","CXG3_MOUSE|Q921C1","Gjc3","Gap junction gamma-3 protein",1.27,0.247
"1016","CY1_MOUSE|Q9D0M3","Cyc1","Cytochrome c1, heme protein, mitochondrial",1.56,0.00272
"1017","CYB5_MOUSE|P56395","Cyb5a","Cytochrome b5",1.91,0.00159
"1018","CYB5B_MOUSE|Q9CQX2","Cyb5b","Cytochrome b5 type B",2.1,0.00178
"1019","CYBP_MOUSE|Q9CXW3","Cacybp","Calcyclin-binding protein",1.31,0.0517
"1020","CYC_MOUSE|P62897","Cycs","Cytochrome c, somatic",1.64,0.000353
"1021","CYC2_MOUSE|P00015","Cyct","Cytochrome c, testis-specific",2.13,0.000187
"1022","CYFP1_MOUSE|Q7TMB8","Cyfip1","Cytoplasmic FMR1-interacting protein 1",1.51,0.00252
"1023","CYFP2_MOUSE|Q5SQX6","Cyfip2","Cytoplasmic FMR1-interacting protein 2",1.72,0.00112
"1024","CYGB_MOUSE|Q9CX80","Cygb","Cytoglobin",1.57,0.005
"1025","CYH1_MOUSE|Q9QX11","Cyth1","Cytohesin-1",1.64,0.018
"1026","CYH2_MOUSE|P63034","Cyth2","Cytohesin-2",1.37,0.0859
"1027","CYLD_MOUSE|Q80TQ2","Cyld","Ubiquitin carboxyl-terminal hydrolase CYLD",2.71,0.000296
"1028","CYTB_MOUSE|Q62426","Cstb","Cystatin-B",1.32,0.015
"1029","CYTC_MOUSE|P21460","Cst3","Cystatin-C",-1.23,0.409
"1030","CYTSA_MOUSE|Q2KN98","Specc1l","Cytospin-A",2.12,0.000439
"1031","CYTSB_MOUSE|Q5SXY1","Specc1","Cytospin-B",2.65,0.000657
"1032","D2JZZ6_MOUSE|D2JZZ6","Dlc1","A730069N07Rik/deleted in liver cancer 1 fusion protein",2.3,0.00144
"1033","D39U1_MOUSE|Q5M8N4","Sdr39u1","Epimerase family protein SDR39U1",1.49,0.105
"1034","D3YTP3_MOUSE|D3YTP3","Mtx3","Protein Mtx3",3.37,0.00026
"1035","D3YWT1_MOUSE|D3YWT1","Hnrnph3","MCG11326, isoform CRA_b",1.16,0.00127
"1036","D3YWX2_MOUSE|D3YWX2","Ylpm1","YLP motif-containing protein 1",2.99,0.000502
"1037","D3YXJ0_MOUSE|D3YXJ0","Dgkh","Diacylglycerol kinase",1.96,0.000793
"1038","D3YXK0_MOUSE|D3YXK0","Jakmip2","MCG4624, isoform CRA_c",1.66,0.00824
"1039","D3YXZ3_MOUSE|D3YXZ3","Klc2","Kinesin light chain 2",2.3,0.00228
"1040","D3YYH0_MOUSE|D3YYH0","Pex5l","PEX5-related protein",2.32,0.000698
"1041","D3YYY8_MOUSE|D3YYY8","Arhgef26","Protein Arhgef26",1.42,0.0102
"1042","D3YZI9_MOUSE|D3YZI9","Pgbd5","Protein Pgbd5",1.48,0.0053
"1043","D3YZU4_MOUSE|D3YZU4","Shank1","SH3 and multiple ankyrin repeat domains protein 1",3.02,0.000638
"1044","D3YZZ5_MOUSE|D3YZZ5","Tmed7","Protein Tmed7",1.18,0.426
"1045","D3Z077_MOUSE|D3Z077","Pgbd5","Protein Pgbd5",1.59,0.00205
"1046","D3Z0L4_MOUSE|D3Z0L4","Chchd3","MICOS complex subunit Mic19",1.28,0.451
"1047","D3Z0M9_MOUSE|D3Z0M9","Ddx23","MCG18410, isoform CRA_a",1.55,0.00151
"1048","D3Z286_MOUSE|D3Z286","Tmppe","Protein Tmppe",1.32,0.071
"1049","D3Z3M7_MOUSE|D3Z3M7","Clip1","CAP-Gly domain-containing linker protein 1",2.33,0.00139
"1050","D3Z519_MOUSE|D3Z519","Dgki","Diacylglycerol kinase",1.52,0.00258
"1051","D3Z5K8_MOUSE|D3Z5K8","Shank2","SH3 and multiple ankyrin repeat domains protein 2",3.41,0.000151
"1052","D3Z7Q2_MOUSE|D3Z7Q2","Smim20","Protein Smim20",1.26,0.18
"1053","D4AFX7_MOUSE|D4AFX7","Dnajc13","Protein Dnajc13",1.52,0.000965
"1054","D6Q0F5_MOUSE|D6Q0F5","Dync1i2","Cytoplasmic dynein intermediate chain 2 isoform 2.1",1.51,0.00392
"1055","D9HP81_MOUSE|D9HP81","Rims2","Regulating synaptic membrane exocytosis 2",2.45,0.000693
"1056","DAAM1_MOUSE|Q8BPM0","Daam1","Disheveled-associated activator of morphogenesis 1",1.51,0.00332
"1057","DAAM2_MOUSE|Q80U19","Daam2","Disheveled-associated activator of morphogenesis 2",1.23,0.0741
"1058","DAB1_MOUSE|P97318","Dab1","Disabled homolog 1",1.73,0.00419
"1059","DAB2P_MOUSE|Q3UHC7","Dab2ip","Disabled homolog 2-interacting protein",2.7,0.000623
"1060","DAD1_MOUSE|P61804","Dad1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1",1.26,0.0973
"1061","DAPK3_MOUSE|O54784","Dapk3","Death-associated protein kinase 3",1.27,0.0209
"1062","DAZP1_MOUSE|Q9JII5","Dazap1","DAZ-associated protein 1",1.65,0.000251
"1063","DBLOH_MOUSE|Q9JIQ3","Diablo","Diablo homolog, mitochondrial",-1.1,0.955
"1064","DBND1_MOUSE|Q9CZ00","Dbndd1","Dysbindin domain-containing protein 1",2.69,0.000653
"1065","DBNL_MOUSE|Q62418","Dbnl","Drebrin-like protein",3.54,3e-04
"1066","DC1I1_MOUSE|O88485","Dync1i1","Cytoplasmic dynein 1 intermediate chain 1",1.52,0.00267
"1067","DC1I2_MOUSE|O88487","Dync1i2","Cytoplasmic dynein 1 intermediate chain 2",1.34,0.0149
"1068","DC1L1_MOUSE|Q8R1Q8","Dync1li1","Cytoplasmic dynein 1 light intermediate chain 1",1.85,0.000803
"1069","DC1L2_MOUSE|Q6PDL0","Dync1li2","Cytoplasmic dynein 1 light intermediate chain 2",1.72,0.00144
"1070","DCA11_MOUSE|Q91VU6","Dcaf11","DDB1- and CUL4-associated factor 11",1.32,0.0702
"1071","DCAF5_MOUSE|Q80T85","Dcaf5","DDB1- and CUL4-associated factor 5",1.71,0.00147
"1072","DCAF6_MOUSE|Q9DC22","Dcaf6","DDB1- and CUL4-associated factor 6",1.44,0.084
"1073","DCAF7_MOUSE|P61963","Dcaf7","DDB1- and CUL4-associated factor 7",1.32,0.00642
"1074","DCAF8_MOUSE|Q8N7N5","Dcaf8","DDB1- and CUL4-associated factor 8",1.5,0.00411
"1075","DCAKD_MOUSE|Q8BHC4","Dcakd","Dephospho-CoA kinase domain-containing protein",1.27,0.177
"1076","DCC_MOUSE|P70211","Dcc","Netrin receptor DCC",2.41,0.000555
"1077","DCE1_MOUSE|P48318","Gad1","Glutamate decarboxylase 1",1.79,0.000668
"1078","DCE2_MOUSE|P48320","Gad2","Glutamate decarboxylase 2",1.74,0.00128
"1079","DCLK1_MOUSE|Q9JLM8","Dclk1","Serine/threonine-protein kinase DCLK1",1.76,0.00153
"1080","DCLK2_MOUSE|Q6PGN3","Dclk2","Serine/threonine-protein kinase DCLK2",2,0.00069
"1081","DCMC_MOUSE|Q99J39","Mlycd","Malonyl-CoA decarboxylase, mitochondrial",1.38,0.0465
"1082","DCNL1_MOUSE|Q9QZ73","Dcun1d1","DCN1-like protein 1",1.43,0.0682
"1083","DCNL2_MOUSE|Q8BZJ7","Dcun1d2","DCN1-like protein 2",1.3,0.137
"1084","DCNL3_MOUSE|Q8K0V2","Dcun1d3","DCN1-like protein 3",1.31,0.0604
"1085","DCP1A_MOUSE|Q91YD3","Dcp1a","mRNA-decapping enzyme 1A",2.37,0.00145
"1086","DCPS_MOUSE|Q9DAR7","Dcps","m7GpppX diphosphatase",1.26,0.107
"1087","DCTN1_MOUSE|O08788","Dctn1","Dynactin subunit 1",1.4,0.00952
"1088","DCTN2_MOUSE|Q99KJ8","Dctn2","Dynactin subunit 2",2.55,0.000648
"1089","DCTN3_MOUSE|Q9Z0Y1","Dctn3","Dynactin subunit 3",1.25,0.136
"1090","DCTN4_MOUSE|Q8CBY8","Dctn4","Dynactin subunit 4",1.56,0.00203
"1091","DCTN5_MOUSE|Q9QZB9","Dctn5","Dynactin subunit 5",1.64,0.000104
"1092","DCTN6_MOUSE|Q9WUB4","Dctn6","Dynactin subunit 6",1.29,0.00829
"1093","DD19A_MOUSE|Q61655","Ddx19a","ATP-dependent RNA helicase DDX19A",1.77,0.000639
"1094","DDAH1_MOUSE|Q9CWS0","Ddah1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",1.51,3.74e-05
"1095","DDAH2_MOUSE|Q99LD8","Ddah2","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",1.29,0.000953
"1096","DDB1_MOUSE|Q3U1J4","Ddb1","DNA damage-binding protein 1",1.32,0.00302
"1097","DDC_MOUSE|O88533","Ddc","Aromatic-L-amino-acid decarboxylase",1.6,0.000763
"1098","DDHD1_MOUSE|Q80YA3","Ddhd1","Phospholipase DDHD1",2.81,0.00018
"1099","DDHD2_MOUSE|Q80Y98","Ddhd2","Phospholipase DDHD2",1.56,0.0122
"1100","DDI2_MOUSE|A2ADY9","Ddi2","Protein DDI1 homolog 2",1.38,0.00631
"1101","DDX1_MOUSE|Q91VR5","Ddx1","ATP-dependent RNA helicase DDX1",1.5,0.0163
"1102","DDX17_MOUSE|Q501J6","Ddx17","Probable ATP-dependent RNA helicase DDX17",1.46,0.00146
"1103","DDX21_MOUSE|Q9JIK5","Ddx21","Nucleolar RNA helicase 2",1.14,0.0499
"1104","DDX3L_MOUSE|P16381","D1Pas1","Putative ATP-dependent RNA helicase Pl10",2.38,0.000672
"1105","DDX3X_MOUSE|Q62167","Ddx3x","ATP-dependent RNA helicase DDX3X",2.07,0.00151
"1106","DDX3Y_MOUSE|Q62095","Ddx3y","ATP-dependent RNA helicase DDX3Y",3.96,2.21e-05
"1107","DDX42_MOUSE|Q810A7","Ddx42","ATP-dependent RNA helicase DDX42",2.11,0.000788
"1108","DDX46_MOUSE|Q569Z5","Ddx46","Probable ATP-dependent RNA helicase DDX46",1.99,0.000523
"1109","DDX47_MOUSE|Q9CWX9","Ddx47","Probable ATP-dependent RNA helicase DDX47",1.14,0.599
"1110","DDX5_MOUSE|Q61656","Ddx5","Probable ATP-dependent RNA helicase DDX5",1.4,0.00486
"1111","DDX50_MOUSE|Q99MJ9","Ddx50","ATP-dependent RNA helicase DDX50",1.29,0.0023
"1112","DDX6_MOUSE|P54823","Ddx6","Probable ATP-dependent RNA helicase DDX6",1.46,0.0015
"1113","DECR_MOUSE|Q9CQ62","Decr1","2,4-dienoyl-CoA reductase, mitochondrial",1.19,0.314
"1114","DEGS1_MOUSE|O09005","Degs1","Sphingolipid delta(4)-desaturase DES1",1.1,0.498
"1115","DEK_MOUSE|Q7TNV0","Dek","Protein DEK",1.05,0.162
"1116","DEMA_MOUSE|Q9WV69","Dmtn","Dematin",2.84,0.00069
"1117","DEN1A_MOUSE|Q8K382","Dennd1a","DENN domain-containing protein 1A",2.43,0.000491
"1118","DEN4B_MOUSE|Q3U1Y4","Dennd4b","DENN domain-containing protein 4B",1.97,0.000458
"1119","DEN5A_MOUSE|Q6PAL8","Dennd5a","DENN domain-containing protein 5A",1.68,0.00136
"1120","DEN5B_MOUSE|A2RSQ0","Dennd5b","DENN domain-containing protein 5B",1.92,0.00334
"1121","DEND_MOUSE|Q80TS7","Ddn","Dendrin",1.74,0.00202
"1122","DENR_MOUSE|Q9CQJ6","Denr","Density-regulated protein",1.4,0.00537
"1123","DEPD5_MOUSE|P61460","Depdc5","DEP domain-containing protein 5",1.79,0.000439
"1124","DESM_MOUSE|P31001","Des","Desmin",1.02,0.442
"1125","DEST_MOUSE|Q9R0P5","Dstn","Destrin",1.34,0.0282
"1126","DFNA5_MOUSE|Q9Z2D3","Dfna5","Non-syndromic hearing impairment protein 5 homolog",2.5,0.000351
"1127","DGAT1_MOUSE|Q9Z2A7","Dgat1","Diacylglycerol O-acyltransferase 1",1.34,0.0649
"1128","DGKB_MOUSE|Q6NS52","Dgkb","Diacylglycerol kinase beta",1.61,0.00224
"1129","DGKE_MOUSE|Q9R1C6","Dgke","Diacylglycerol kinase epsilon",1.56,0.00203
"1130","DGKG_MOUSE|Q91WG7","Dgkg","Diacylglycerol kinase gamma",1.62,0.00137
"1131","DGKQ_MOUSE|Q6P5E8","Dgkq","Diacylglycerol kinase theta",1.78,0.000364
"1132","DGKZ_MOUSE|Q80UP3","Dgkz","Diacylglycerol kinase zeta",1.69,0.00154
"1133","DGLA_MOUSE|Q6WQJ1","Dagla","Sn1-specific diacylglycerol lipase alpha",2.42,0.000401
"1134","DHB11_MOUSE|Q9EQ06","Hsd17b11","Estradiol 17-beta-dehydrogenase 11",1.3,0.0713
"1135","DHB12_MOUSE|O70503","Hsd17b12","Very-long-chain 3-oxoacyl-CoA reductase",1.4,0.0764
"1136","DHB4_MOUSE|P51660","Hsd17b4","Peroxisomal multifunctional enzyme type 2",1.37,0.067
"1137","DHB7_MOUSE|O88736","Hsd17b7","3-keto-steroid reductase",1.34,0.209
"1138","DHB8_MOUSE|P50171","Hsd17b8","Estradiol 17-beta-dehydrogenase 8",1.28,0.092
"1139","DHE3_MOUSE|P26443","Glud1","Glutamate dehydrogenase 1, mitochondrial",1.47,0.0847
"1140","DHPR_MOUSE|Q8BVI4","Qdpr","Dihydropteridine reductase",1.28,0.102
"1141","DHRS1_MOUSE|Q99L04","Dhrs1","Dehydrogenase/reductase SDR family member 1",1.16,0.277
"1142","DHRS4_MOUSE|Q99LB2","Dhrs4","Dehydrogenase/reductase SDR family member 4",1.26,0.192
"1143","DHRS7_MOUSE|Q9CXR1","Dhrs7","Dehydrogenase/reductase SDR family member 7",1.39,0.116
"1144","DHSO_MOUSE|Q64442","Sord","Sorbitol dehydrogenase",1.28,0.0535
"1145","DHX15_MOUSE|O35286","Dhx15","Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15",1.33,0.00113
"1146","DHX29_MOUSE|Q6PGC1","Dhx29","ATP-dependent RNA helicase Dhx29",2.91,0.000485
"1147","DHX30_MOUSE|Q99PU8","Dhx30","Putative ATP-dependent RNA helicase DHX30",1.44,0.002
"1148","DHX36_MOUSE|Q8VHK9","Dhx36","ATP-dependent RNA helicase DHX36",1.39,0.00883
"1149","DHX57_MOUSE|Q6P5D3","Dhx57","Putative ATP-dependent RNA helicase DHX57",1.7,0.00166
"1150","DHX9_MOUSE|O70133","Dhx9","ATP-dependent RNA helicase A",1.63,0.000527
"1151","DHX9_MOUSE|O70133-2","Dhx9","ATP-dependent RNA helicase A (isoform 2)",1.88,0.000424
"1152","DI3L2_MOUSE|Q8CI75","Dis3l2","DIS3-like exonuclease 2",1.7,0.000219
"1153","DIAP1_MOUSE|O08808","Diaph1","Protein diaphanous homolog 1",1.5,0.00248
"1154","DIAP2_MOUSE|O70566","Diaph2","Protein diaphanous homolog 2",1.92,0.00134
"1155","DIC_MOUSE|Q9QZD8","Slc25a10","Mitochondrial dicarboxylate carrier",1.5,0.0206
"1156","DIDO1_MOUSE|Q8C9B9","Dido1","Death-inducer obliterator 1",2.42,0.00219
"1157","DIP2A_MOUSE|Q8BWT5","Dip2a","Disco-interacting protein 2 homolog A",1.74,0.000369
"1158","DIP2B_MOUSE|Q3UH60","Dip2b","Disco-interacting protein 2 homolog B",2.35,0.000248
"1159","DIRA1_MOUSE|Q91Z61","Diras1","GTP-binding protein Di-Ras1",1.37,0.114
"1160","DIRA2_MOUSE|Q5PR73","Diras2","GTP-binding protein Di-Ras2",1.36,0.176
"1161","DJB11_MOUSE|Q99KV1","Dnajb11","DnaJ homolog subfamily B member 11",-1.06,0.94
"1162","DJC11_MOUSE|Q5U458","Dnajc11","DnaJ homolog subfamily C member 11",1.44,0.0146
"1163","DJC16_MOUSE|Q80TN4","Dnajc16","DnaJ homolog subfamily C member 16",1.6,0.00132
"1164","DJC27_MOUSE|Q8CFP6","Dnajc27","DnaJ homolog subfamily C member 27",1.83,0.000248
"1165","DKC1_MOUSE|Q9ESX5","Dkc1","H/ACA ribonucleoprotein complex subunit 4",1.9,0.000671
"1166","DLDH_MOUSE|O08749","Dld","Dihydrolipoyl dehydrogenase, mitochondrial",1.07,0.56
"1167","DLG1_MOUSE|Q811D0","Dlg1","Disks large homolog 1",2.3,0.000877
"1168","DLG2_MOUSE|Q91XM9","Dlg2","Disks large homolog 2",2.71,0.000603
"1169","DLG2_MOUSE|Q91XM9-4","Dlg2","Disks large homolog 2 (isoform 4)",2.98,0.000551
"1170","DLG2_MOUSE|Q91XM9-7","Dlg2","Disks large homolog 2 (isoform 7)",2.61,0.000822
"1171","DLG3_MOUSE|P70175","Dlg3","Disks large homolog 3",2.61,0.00063
"1172","DLG4_MOUSE|Q62108","Dlg4","Disks large homolog 4",2.6,0.000347
"1173","DLGP1_MOUSE|Q9D415","Dlgap1","Disks large-associated protein 1",2.47,0.00113
"1174","DLGP2_MOUSE|Q8BJ42","Dlgap2","Disks large-associated protein 2",2.73,0.000808
"1175","DLGP3_MOUSE|Q6PFD5","Dlgap3","Disks large-associated protein 3",3.25,0.000432
"1176","DLGP4_MOUSE|B1AZP2","Dlgap4","Disks large-associated protein 4",2.69,0.00071
"1177","DLGP4_MOUSE|B1AZP2-2","Dlgap4","Disks large-associated protein 4 (isoform 2)",2.48,0.00136
"1178","DLRB1_MOUSE|P62627","Dynlrb1","Dynein light chain roadblock-type 1",-1.01,0.836
