Gene,Protein,Description,p_Value,Log2FC
Dnajb1,DNJB1_MOUSE|Q9QYJ3,DnaJ homolog subfamily B member 1,4.70E-04,1.57E+00
Dnajb2,DNJB2_MOUSE|Q9QYI5,DnaJ homolog subfamily B member 2,1.06E-03,7.85E-01
Dnajb6,DNJB6_MOUSE|O54946,DnaJ homolog subfamily B member 6,7.04E-01,1.15E-02
Dnajc3,DNJC3_MOUSE|Q91YW3,DnaJ homolog subfamily C member 3,3.09E-01,3.40E-01
Dnajc5,DNJC5_MOUSE|P60904,DnaJ homolog subfamily C member 5,3.47E-01,2.72E-01
Dnajc7,DNJC7_MOUSE|Q9QYI3,DnaJ homolog subfamily C member 7,1.27E-03,5.83E-01
Dnajc8,DNJC8_MOUSE|Q6NZB0,DnaJ homolog subfamily C member 8,7.37E-04,5.58E-01
Dnm1l,DNM1L_MOUSE|Q8K1M6,Dynamin-1-like protein,3.84E-04,1.20E+00
Dnm1l,DNM1L_MOUSE|Q8K1M6-3,Dynamin-1-like protein (isoform 3),1.48E-03,8.79E-01
Dnpep,DNPEP_MOUSE|Q9Z2W0,Aspartyl aminopeptidase,1.72E-02,4.50E-01
Dock10,DOC10_MOUSE|Q8BZN6,Dedicator of cytokinesis protein 10,9.41E-04,6.40E-01
Doc2a,DOC2A_MOUSE|Q7TNF0,Double C2-like domain-containing protein alpha,3.42E-03,8.27E-01
Doc2b,DOC2B_MOUSE|P70169,Double C2-like domain-containing protein beta,7.99E-04,9.22E-01
Dock1,DOCK1_MOUSE|Q8BUR4,Dedicator of cytokinesis protein 1,2.04E-02,4.16E-01
Dock3,DOCK3_MOUSE|Q8CIQ7,Dedicator of cytokinesis protein 3,1.27E-03,6.71E-01
Dock4,DOCK4_MOUSE|P59764,Dedicator of cytokinesis protein 4,1.20E-03,7.72E-01
Dock6,DOCK6_MOUSE|Q8VDR9,Dedicator of cytokinesis protein 6,3.21E-04,9.50E-01
Dock7,DOCK7_MOUSE|Q8R1A4,Dedicator of cytokinesis protein 7,1.06E-03,8.28E-01
Dock9,DOCK9_MOUSE|Q8BIK4,Dedicator of cytokinesis protein 9,2.70E-03,5.47E-01
Dock9,DOCK9_MOUSE|Q8BIK4-2,Dedicator of cytokinesis protein 9 (isoform 2),8.53E-03,4.07E-01
Appl1,DP13A_MOUSE|Q8K3H0,DCC-interacting protein 13-alpha,1.10E-02,5.14E-01
Appl2,DP13B_MOUSE|Q8K3G9,DCC-interacting protein 13-beta,4.63E-02,3.90E-01
Dpf1,DPF1_MOUSE|Q9QX66,Zinc finger protein neuro-d4,1.64E-04,6.44E-01
Dpm3,DPM3_MOUSE|Q9D1Q4,Dolichol-phosphate mannosyltransferase subunit 3,2.05E-01,5.09E-01
Pold3,DPOD3_MOUSE|Q9EQ28,DNA polymerase delta subunit 3,1.48E-03,1.68E+00
Dpp10,DPP10_MOUSE|Q6NXK7,Inactive dipeptidyl peptidase 10,6.38E-03,4.57E-01
Dpp3,DPP3_MOUSE|Q99KK7,Dipeptidyl peptidase 3,1.60E-03,8.89E-01
Dpp6,DPP6_MOUSE|Q9Z218,Dipeptidyl aminopeptidase-like protein 6,3.47E-03,5.41E-01
Dpp9,DPP9_MOUSE|Q8BVG4,Dipeptidyl peptidase 9,4.34E-04,6.42E-01
Crmp1,DPYL1_MOUSE|P97427,Dihydropyrimidinase-related protein 1,7.85E-03,6.16E-01
Dpysl2,DPYL2_MOUSE|O08553,Dihydropyrimidinase-related protein 2,3.16E-03,6.69E-01
Dpysl3,DPYL3_MOUSE|Q62188,Dihydropyrimidinase-related protein 3,4.80E-03,6.76E-01
Dpysl4,DPYL4_MOUSE|O35098,Dihydropyrimidinase-related protein 4,8.91E-04,8.71E-01
Dpysl5,DPYL5_MOUSE|Q9EQF6,Dihydropyrimidinase-related protein 5,1.23E-01,4.01E-01
Dbn1,DREB_MOUSE|Q9QXS6,Drebrin,5.40E-04,1.35E+00
Drg1,DRG1_MOUSE|P32233,Developmentally-regulated GTP-binding protein 1,3.44E-02,3.10E-01
Drg2,DRG2_MOUSE|Q9QXB9,Developmentally-regulated GTP-binding protein 2,3.11E-04,8.54E-01
Dscr3,DSCR3_MOUSE|O35075,Down syndrome critical region protein 3 homolog,7.54E-02,4.89E-01
Dsg1a,DSG1A_MOUSE|Q61495,Desmoglein-1-alpha,9.54E-01,-2.09E-01
Adar,DSRAD_MOUSE|Q99MU3,Double-stranded RNA-specific adenosine deaminase,3.89E-04,7.28E-01
Dtd1,DTD1_MOUSE|Q9DD18,D-tyrosyl-tRNA(Tyr) deacylase 1,7.67E-04,7.94E-01
Dtna,DTNA_MOUSE|Q9D2N4,Dystrobrevin alpha,7.35E-04,1.01E+00
Dusp3,DUS3_MOUSE|Q9D7X3,Dual specificity protein phosphatase 3,5.39E-03,7.75E-01
Dus3l,DUS3L_MOUSE|Q91XI1,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like,8.64E-04,8.19E-01
Dvl1,DVL1_MOUSE|P51141,Segment polarity protein dishevelled homolog DVL-1,5.23E-04,2.12E+00
Dvl2,DVL2_MOUSE|Q60838,Segment polarity protein dishevelled homolog DVL-2,4.78E-04,1.72E+00
Dvl3,DVL3_MOUSE|Q61062,Segment polarity protein dishevelled homolog DVL-3,4.41E-04,1.66E+00
Ddx39a,DX39A_MOUSE|Q8VDW0,ATP-dependent RNA helicase DDX39A,3.27E-02,3.58E-01
Ddx39b,DX39B_MOUSE|Q9Z1N5,Spliceosome RNA helicase Ddx39b,2.82E-02,3.85E-01
Dync1h1,DYHC1_MOUSE|Q9JHU4,Cytoplasmic dynein 1 heavy chain 1,5.07E-02,3.31E-01
Dync2h1,DYHC2_MOUSE|Q45VK7,Cytoplasmic dynein 2 heavy chain 1,8.55E-03,8.24E-01
Dynll1,DYL1_MOUSE|P63168,"Dynein light chain 1, cytoplasmic",2.13E-01,3.16E-01
Dynll2,DYL2_MOUSE|Q9D0M5,"Dynein light chain 2, cytoplasmic",4.01E-01,1.58E-01
Dnm1,DYN1_MOUSE|P39053,Dynamin-1,1.22E-03,8.08E-01
Dnm1,DYN1_MOUSE|P39053-3,Dynamin-1 (isoform 3),1.90E-03,8.12E-01
Dnm2,DYN2_MOUSE|P39054,Dynamin-2,1.69E-02,4.70E-01
Dnm3,DYN3_MOUSE|Q8BZ98,Dynamin-3,3.74E-03,6.83E-01
Dst,DYST_MOUSE|Q91ZU6,Dystonin,3.17E-03,6.25E-01
Dst,DYST_MOUSE|Q91ZU6-6,Dystonin (isoform 6),1.84E-03,5.52E-01
Dzank1,DZAN1_MOUSE|Q8C008,Double zinc ribbon and ankyrin repeat-containing protein 1,1.61E-03,9.60E-01
Dzip3,DZIP3_MOUSE|Q7TPV2,E3 ubiquitin-protein ligase DZIP3,3.39E-04,1.43E+00
2010300C02Rik,E0CXB3_MOUSE|E0CXB3,Protein 2010300C02Rik,1.47E-03,1.24E+00
Wnk2,E0CZE3_MOUSE|E0CZE3,Serine/threonine-protein kinase WNK2,7.77E-04,1.18E+00
Epb41l1,E41L1_MOUSE|Q9Z2H5,Band 4.1-like protein 1,4.60E-04,1.63E+00
Epb41l1,E41L1_MOUSE|Q9Z2H5-2,Band 4.1-like protein 1 (isoform 2),1.17E-02,4.81E-01
Epb41l2,E41L2_MOUSE|O70318,Band 4.1-like protein 2,4.79E-02,4.73E-01
Epb41l3,E41L3_MOUSE|Q9WV92,Band 4.1-like protein 3,3.81E-04,1.53E+00
Epb41l3,E41L3_MOUSE|Q9WV92-7,Band 4.1-like protein 3 (isoform 7),4.95E-04,1.48E+00
Epb41l5,E41L5_MOUSE|Q8BGS1,Band 4.1-like protein 5,8.17E-04,1.14E+00
Epb41l4b,E41LB_MOUSE|Q9JMC8,Band 4.1-like protein 4B,2.53E-04,1.65E+00
Iqsec1,E9PUA3_MOUSE|E9PUA3,IQ motif and SEC7 domain-containing protein 1,1.00E-03,1.28E+00
Dnm1l,E9PUD2_MOUSE|E9PUD2,Dynamin-1-like protein,3.66E-04,1.28E+00
Epb4.1l1,E9PV14_MOUSE|E9PV14,Band 4.1-like protein 1,3.00E-04,1.82E+00
Mctp1,E9PV86_MOUSE|E9PV86,Protein Mctp1,1.30E-02,5.45E-01
Rasal2,E9PW37_MOUSE|E9PW37,Protein Rasal2,2.29E-03,1.10E+00
Fam184a,E9PW83_MOUSE|E9PW83,Protein Fam184a,6.71E-04,1.47E+00
Trappc8,E9PWG2_MOUSE|E9PWG2,Protein Trappc8,5.48E-04,1.07E+00
Asap2,E9PX52_MOUSE|E9PX52,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",4.83E-04,1.23E+00
Pcdh17,E9PXF0_MOUSE|E9PXF0,Protein Pcdh17,6.84E-04,1.38E+00
Adap1,E9PY16_MOUSE|E9PY16,Protein Adap1,2.33E-02,4.70E-01
Ahnak2,E9PYB0_MOUSE|E9PYB0,Protein Ahnak2,8.47E-04,1.43E+00
Arhgap5,E9PYT0_MOUSE|E9PYT0,Rho GTPase-activating protein 5,5.70E-03,6.11E-01
Herc1,E9PZP8_MOUSE|E9PZP8,Protein Herc1,1.12E-02,7.78E-01
Nhsl2,E9Q0V6_MOUSE|E9Q0V6,NHS-like protein 2,5.79E-04,1.58E+00
7-Sep,E9Q1G8_MOUSE|E9Q1G8,Septin-7,3.00E-03,4.90E-01
Add1,E9Q1K3_MOUSE|E9Q1K3,Alpha-adducin,4.34E-04,1.30E+00
Pdzd2,E9Q1M1_MOUSE|E9Q1M1,Protein Pdzd2,3.02E-03,1.20E+00
Ankhd1,E9Q1M6_MOUSE|E9Q1M6,Protein Ankhd1,2.41E-03,1.29E+00
Gm15800,E9Q2E4_MOUSE|E9Q2E4,Protein Gm15800,1.65E-02,5.98E-01
Pcdh7,E9Q2S0_MOUSE|E9Q2S0,Protein Pcdh7,2.49E-03,9.49E-01
Nup153,E9Q3G8_MOUSE|E9Q3G8,Protein Nup153,9.65E-04,1.47E+00
Itsn1,E9Q3I9_MOUSE|E9Q3I9,Intersectin-1,7.27E-04,1.19E+00
Sptan1,E9Q447_MOUSE|E9Q447,"Spectrin alpha chain, non-erythrocytic 1",1.43E-04,2.02E+00
Actb,E9Q5F4_MOUSE|E9Q5F4,"Actin, cytoplasmic 1",4.98E-02,4.22E-01
Zfr2,E9Q5M4_MOUSE|E9Q5M4,Protein Zfr2,3.77E-04,1.21E+00
Ahnak,E9Q616_MOUSE|E9Q616,Protein Ahnak,5.11E-02,6.03E-01
Arid1b,E9Q6R4_MOUSE|E9Q6R4,Protein Arid1b,2.11E-03,1.50E+00
Utrn,E9Q6R7_MOUSE|E9Q6R7,Protein Utrn,5.11E-01,1.41E-01
Usp31,E9Q6Y8_MOUSE|E9Q6Y8,Ubiquitin carboxyl-terminal hydrolase,2.46E-03,9.43E-01
Immt,E9Q800_MOUSE|E9Q800,MICOS complex subunit Mic60,8.85E-02,4.82E-01
Slc4a4,E9Q8N8_MOUSE|E9Q8N8,Electrogenic sodium bicarbonate cotransporter 1,3.31E-02,5.59E-01
Dennd4a,E9Q8V6_MOUSE|E9Q8V6,Protein Dennd4a,6.53E-04,1.10E+00
Eml2,E9QK48_MOUSE|E9QK48,Echinoderm microtubule-associated protein-like 2,8.80E-04,7.55E-01
Clasp1,E9QKH0_MOUSE|E9QKH0,CLIP-associating protein 1,1.07E-03,1.03E+00
D8Ertd82e,E9QLH9_MOUSE|E9QLH9,Tyrosine-protein kinase SgK223,5.92E-03,7.42E-01
Map7,E9QMU3_MOUSE|E9QMU3,Ensconsin,1.07E-03,1.37E+00
Srgap3,E9QN14_MOUSE|E9QN14,SLIT-ROBO Rho GTPase-activating protein 3,1.00E-03,1.29E+00
Macf1,E9QNP1_MOUSE|E9QNP1,Microtubule-actin cross-linking factor 1,3.68E-02,6.42E-01
Akap9,E9QQ10_MOUSE|E9QQ10,A-kinase anchor protein 9,4.55E-04,1.57E+00
Slc1a3,EAA1_MOUSE|P56564,Excitatory amino acid transporter 1,4.72E-02,4.15E-01
Slc1a2,EAA2_MOUSE|P43006,Excitatory amino acid transporter 2,5.16E-03,6.77E-01
Slc1a2,EAA2_MOUSE|P43006-3,Excitatory amino acid transporter 2 (isoform 3),8.61E-02,7.99E-01
Slc1a1,EAA3_MOUSE|P51906,Excitatory amino acid transporter 3,8.05E-03,7.70E-01
Slc1a6,EAA4_MOUSE|O35544,Excitatory amino acid transporter 4,2.96E-03,8.21E-01
Hadha,ECHA_MOUSE|Q8BMS1,"Trifunctional enzyme subunit alpha, mitochondrial",1.01E-01,3.98E-01
Hadhb,ECHB_MOUSE|Q99JY0,"Trifunctional enzyme subunit beta, mitochondrial",2.42E-01,3.67E-01
Echdc1,ECHD1_MOUSE|Q9D9V3,Ethylmalonyl-CoA decarboxylase,4.74E-02,5.46E-01
Echs1,ECHM_MOUSE|Q8BH95,"Enoyl-CoA hydratase, mitochondrial",4.26E-02,3.61E-01
Eci1,ECI1_MOUSE|P42125,"Enoyl-CoA delta isomerase 1, mitochondrial",1.26E-01,3.05E-01
Eci2,ECI2_MOUSE|Q9WUR2,"Enoyl-CoA delta isomerase 2, mitochondrial",7.21E-02,5.19E-01
Ecm29,ECM29_MOUSE|Q6PDI5,Proteasome-associated protein ECM29 homolog,1.36E-03,6.84E-01
Ecsit,ECSIT_MOUSE|Q9QZH6,"Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",3.48E-02,4.10E-01
Edc3,EDC3_MOUSE|Q8K2D3,Enhancer of mRNA-decapping protein 3,4.88E-04,1.23E+00
Edc4,EDC4_MOUSE|Q3UJB9,Enhancer of mRNA-decapping protein 4,7.05E-04,1.35E+00
Edf1,EDF1_MOUSE|Q9JMG1,Endothelial differentiation-related factor 1,6.64E-03,3.92E-01
Eea1,EEA1_MOUSE|Q8BL66,Early endosome antigen 1,3.75E-04,1.09E+00
Eef1a1,EF1A1_MOUSE|P10126,Elongation factor 1-alpha 1,2.28E-02,2.44E-01
Eef1a2,EF1A2_MOUSE|P62631,Elongation factor 1-alpha 2,1.25E-03,6.34E-01
Eef1b,EF1B_MOUSE|O70251,Elongation factor 1-beta,3.80E-04,1.15E+00
Eef1d,EF1D_MOUSE|P57776,Elongation factor 1-delta,2.86E-04,1.16E+00
Eef1d,EF1D_MOUSE|P57776-3,Elongation factor 1-delta (isoform 3),4.85E-04,1.29E+00
Eef1g,EF1G_MOUSE|Q9D8N0,Elongation factor 1-gamma,1.88E-01,2.44E-01
Eef2,EF2_MOUSE|P58252,Elongation factor 2,2.89E-02,3.46E-01
Gfm1,EFGM_MOUSE|Q8K0D5,"Elongation factor G, mitochondrial",3.76E-02,4.77E-01
Efhd1,EFHD1_MOUSE|Q9D4J1,EF-hand domain-containing protein D1,1.75E-03,9.65E-01
Efhd2,EFHD2_MOUSE|Q9D8Y0,EF-hand domain-containing protein D2,9.41E-04,1.23E+00
NA,EFL1_MOUSE|Q8C0D5,NA,5.41E-04,1.05E+00
Efnb2,EFNB2_MOUSE|P52800,Ephrin-B2,1.07E-03,7.52E-01
Efr3a,EFR3A_MOUSE|Q8BG67,Protein EFR3 homolog A,1.37E-03,7.09E-01
Efr3b,EFR3B_MOUSE|Q6ZQ18,Protein EFR3 homolog B,6.72E-04,7.84E-01
Tsfm,EFTS_MOUSE|Q9CZR8,"Elongation factor Ts, mitochondrial",3.10E-02,3.35E-01
Tufm,EFTU_MOUSE|Q8BFR5,"Elongation factor Tu, mitochondrial",1.38E-01,4.28E-01
Ehbp1,EHBP1_MOUSE|Q69ZW3,EH domain-binding protein 1,4.20E-04,1.36E+00
Ehd1,EHD1_MOUSE|Q9WVK4,EH domain-containing protein 1,4.80E-04,8.49E-01
Ehd2,EHD2_MOUSE|Q8BH64,EH domain-containing protein 2,4.62E-01,1.46E-01
Ehd3,EHD3_MOUSE|Q9QXY6,EH domain-containing protein 3,7.07E-04,1.13E+00
Ehd4,EHD4_MOUSE|Q9EQP2,EH domain-containing protein 4,6.94E-04,9.84E-01
Eif2b2,EI2BB_MOUSE|Q99LD9,Translation initiation factor eIF-2B subunit beta,4.03E-02,7.15E-01
Eif2b4,EI2BD_MOUSE|Q61749,Translation initiation factor eIF-2B subunit delta,3.06E-02,4.83E-01
Eif2b5,EI2BE_MOUSE|Q8CHW4,Translation initiation factor eIF-2B subunit epsilon,2.31E-02,4.81E-01
Eif3j1,EI3JA_MOUSE|Q3UGC7,Eukaryotic translation initiation factor 3 subunit J-A,1.12E-03,7.68E-01
Eif1b,EIF1B_MOUSE|Q9CXU9,Eukaryotic translation initiation factor 1b,2.52E-01,-2.37E-01
Eif2a,EIF2A_MOUSE|Q8BJW6,Eukaryotic translation initiation factor 2A,3.51E-03,5.87E-01
Eif2d,EIF2D_MOUSE|Q61211,Eukaryotic translation initiation factor 2D,7.18E-04,1.17E+00
Eif3a,EIF3A_MOUSE|P23116,Eukaryotic translation initiation factor 3 subunit A,1.47E-03,7.28E-01
Eif3b,EIF3B_MOUSE|Q8JZQ9,Eukaryotic translation initiation factor 3 subunit B,2.69E-02,3.94E-01
Eif3c,EIF3C_MOUSE|Q8R1B4,Eukaryotic translation initiation factor 3 subunit C,1.20E-03,8.59E-01
Eif3d,EIF3D_MOUSE|O70194,Eukaryotic translation initiation factor 3 subunit D,2.81E-03,6.03E-01
Eif3e,EIF3E_MOUSE|P60229,Eukaryotic translation initiation factor 3 subunit E,1.64E-02,3.76E-01
Eif3f,EIF3F_MOUSE|Q9DCH4,Eukaryotic translation initiation factor 3 subunit F,3.09E-01,1.41E-01
Eif3g,EIF3G_MOUSE|Q9Z1D1,Eukaryotic translation initiation factor 3 subunit G,5.29E-04,9.62E-01
Eif3h,EIF3H_MOUSE|Q91WK2,Eukaryotic translation initiation factor 3 subunit H,6.73E-02,2.72E-01
Eif3i,EIF3I_MOUSE|Q9QZD9,Eukaryotic translation initiation factor 3 subunit I,3.40E-02,2.28E-01
Eif3k,EIF3K_MOUSE|Q9DBZ5,Eukaryotic translation initiation factor 3 subunit K,2.32E-01,2.70E-01
Eif3l,EIF3L_MOUSE|Q8QZY1,Eukaryotic translation initiation factor 3 subunit L,2.01E-02,4.13E-01
Eif3m,EIF3M_MOUSE|Q99JX4,Eukaryotic translation initiation factor 3 subunit M,1.32E-02,2.61E-01
Elavl1,ELAV1_MOUSE|P70372,ELAV-like protein 1,2.41E-02,5.05E-01
Elavl2,ELAV2_MOUSE|Q60899,ELAV-like protein 2,1.07E-03,1.04E+00
Elavl3,ELAV3_MOUSE|Q60900,ELAV-like protein 3,2.04E-01,2.76E-01
Elavl4,ELAV4_MOUSE|Q61701,ELAV-like protein 4,9.39E-04,1.23E+00
Elfn1,ELFN1_MOUSE|Q8C8T7,Protein ELFN1,6.30E-04,1.50E+00
Elmod1,ELMD1_MOUSE|Q3V1U8,ELMO domain-containing protein 1,1.98E-02,5.90E-01
Elmo1,ELMO1_MOUSE|Q8BPU7,Engulfment and cell motility protein 1,5.27E-02,4.10E-01
Elmo2,ELMO2_MOUSE|Q8BHL5,Engulfment and cell motility protein 2,1.31E-02,5.86E-01
Eln,ELN_MOUSE|P54320,Elastin,7.81E-01,-6.30E-01
Tceb2,ELOB_MOUSE|P62869,Transcription elongation factor B polypeptide 2,9.37E-04,1.25E+00
Tceb1,ELOC_MOUSE|P83940,Transcription elongation factor B polypeptide 1,6.72E-02,3.37E-01
Ikbkap,ELP1_MOUSE|Q7TT37,Elongator complex protein 1,1.54E-03,5.85E-01
Elp2,ELP2_MOUSE|Q91WG4,Elongator complex protein 2,4.14E-04,8.80E-01
Elp3,ELP3_MOUSE|Q9CZX0,Elongator complex protein 3,8.29E-04,6.89E-01
Elp4,ELP4_MOUSE|Q9ER73,Elongator complex protein 4,1.54E-03,8.19E-01
Elp5,ELP5_MOUSE|Q99L85,Elongator complex protein 5,9.76E-03,5.54E-01
Ahctf1,ELYS_MOUSE|Q8CJF7,Protein ELYS,3.33E-01,1.09E-02
Mpp1,EM55_MOUSE|P70290,55 kDa erythrocyte membrane protein,5.26E-04,1.40E+00
Eml1,EMAL1_MOUSE|Q05BC3,Echinoderm microtubule-associated protein-like 1,1.19E-03,5.63E-01
Eml2,EMAL2_MOUSE|Q7TNG5,Echinoderm microtubule-associated protein-like 2,1.63E-03,6.03E-01
Eml4,EMAL4_MOUSE|Q3UMY5,Echinoderm microtubule-associated protein-like 4,2.97E-03,5.20E-01
Emb,EMB_MOUSE|P21995,Embigin,1.08E-03,6.93E-01
Emc1,EMC1_MOUSE|Q8C7X2,ER membrane protein complex subunit 1,6.01E-02,6.04E-01
Emc2,EMC2_MOUSE|Q9CRD2,ER membrane protein complex subunit 2,1.42E-01,3.01E-01
Emc4,EMC4_MOUSE|Q9CZX9,ER membrane protein complex subunit 4,1.50E-01,4.23E-01
Emc8,EMC8_MOUSE|O70378,ER membrane protein complex subunit 8,4.47E-02,4.95E-01
Emd,EMD_MOUSE|O08579,Emerin,7.25E-04,1.33E+00
Emsy,EMSY_MOUSE|Q8BMB0,Protein EMSY,4.87E-03,1.43E+00
Enah,ENAH_MOUSE|Q03173,Protein enabled homolog,3.06E-04,1.70E+00
Endod1,ENDD1_MOUSE|Q8C522,Endonuclease domain-containing 1 protein,5.87E-01,5.14E-02
Eno1,ENOA_MOUSE|P17182,Alpha-enolase,9.55E-01,-2.99E-02
Eno2,ENOG_MOUSE|P17183,Gamma-enolase,3.38E-01,4.11E-01
Enoph1,ENOPH_MOUSE|Q8BGB7,Enolase-phosphatase E1,1.56E-01,3.59E-01
Hsp90b1,ENPL_MOUSE|P08113,Endoplasmin,1.80E-01,1.94E-01
Enpp6,ENPP6_MOUSE|Q8BGN3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6,2.19E-01,4.65E-01
Ensa,ENSA_MOUSE|P60840,Alpha-endosulfine,1.21E-03,1.24E+00
Eps15l1,EP15R_MOUSE|Q60902,Epidermal growth factor receptor substrate 15-like 1,4.50E-04,1.64E+00
Ep400,EP400_MOUSE|Q8CHI8,E1A-binding protein p400,1.92E-03,9.24E-01
Epg5,EPG5_MOUSE|Q80TA9,Ectopic P granules protein 5 homolog,4.31E-03,5.25E-01
Epha2,EPHA2_MOUSE|Q03145,Ephrin type-A receptor 2,2.72E-03,5.55E-01
Epha3,EPHA3_MOUSE|P29319,Ephrin type-A receptor 3,5.69E-03,4.45E-01
Epha4,EPHA4_MOUSE|Q03137,Ephrin type-A receptor 4,1.67E-02,4.43E-01
Epha5,EPHA5_MOUSE|Q60629,Ephrin type-A receptor 5,1.72E-02,3.98E-01
Ephb1,EPHB1_MOUSE|Q8CBF3,Ephrin type-B receptor 1,2.10E-03,4.79E-01
Ephb2,EPHB2_MOUSE|P54763,Ephrin type-B receptor 2,4.66E-02,2.96E-01
Ephb3,EPHB3_MOUSE|P54754,Ephrin type-B receptor 3,1.58E-03,5.28E-01
Epm2aip1,EPMIP_MOUSE|Q8VEH5,EPM2A-interacting protein 1,1.54E-03,7.35E-01
Epn1,EPN1_MOUSE|Q80VP1,Epsin-1,8.24E-04,1.17E+00
Epn2,EPN2_MOUSE|Q8CHU3,Epsin-2,1.05E-03,1.18E+00
Epn2,EPN2_MOUSE|Q8CHU3-2,Epsin-2 (isoform 2),7.22E-04,1.36E+00
Clint1,EPN4_MOUSE|Q99KN9,Clathrin interactor 1,6.35E-04,1.48E+00
Eps15,EPS15_MOUSE|P42567,Epidermal growth factor receptor substrate 15,8.99E-04,1.00E+00
Eps8,EPS8_MOUSE|Q08509,Epidermal growth factor receptor kinase substrate 8,6.94E-04,1.06E+00
Erbb4,ERBB4_MOUSE|Q61527,Receptor tyrosine-protein kinase erbB-4,1.66E-03,9.58E-01
NA,ERBIN_MOUSE|Q80TH2,NA,7.83E-04,1.44E+00
Erc2,ERC2_MOUSE|Q6PH08,ERC protein 2,7.30E-04,1.43E+00
Ercc5,ERCC5_MOUSE|P35689,DNA repair protein complementing XP-G cells homolog,7.92E-04,1.34E+00
Etf1,ERF1_MOUSE|Q8BWY3,Eukaryotic peptide chain release factor subunit 1,4.59E-01,8.31E-02
Gspt1,ERF3A_MOUSE|Q8R050,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A,1.62E-03,6.20E-01
Gspt2,ERF3B_MOUSE|Q149F3,Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,2.09E-03,8.12E-01
Ergic1,ERGI1_MOUSE|Q9DC16,Endoplasmic reticulum-Golgi intermediate compartment protein 1,2.29E-02,4.63E-01
Erh,ERH_MOUSE|P84089,Enhancer of rudimentary homolog,3.97E-04,5.29E-01
Erlec1,ERLEC_MOUSE|Q8VEH8,Endoplasmic reticulum lectin 1,6.36E-01,1.22E-01
Erlin1,ERLN1_MOUSE|Q91X78,Erlin-1,2.04E-01,2.77E-01
Erlin2,ERLN2_MOUSE|Q8BFZ9,Erlin-2,6.80E-01,1.14E-02
Ermn,ERMIN_MOUSE|Q5EBJ4,Ermin,4.15E-04,5.71E-01
Ermp1,ERMP1_MOUSE|Q3UVK0,Endoplasmic reticulum metallopeptidase 1,1.57E-02,3.75E-01
Erp44,ERP44_MOUSE|Q9D1Q6,Endoplasmic reticulum resident protein 44,1.03E-01,2.88E-01
D10Jhu81e,ES1_MOUSE|Q9D172,"ES1 protein homolog, mitochondrial",7.67E-02,3.90E-01
Eps8l2,ES8L2_MOUSE|Q99K30,Epidermal growth factor receptor kinase substrate 8-like protein 2,1.31E-04,1.47E+00
Smg6,EST1A_MOUSE|P61406,Telomerase-binding protein EST1A,2.14E-03,9.01E-01
Esd,ESTD_MOUSE|Q9R0P3,S-formylglutathione hydrolase,1.35E-02,5.40E-01
Esyt1,ESYT1_MOUSE|Q3U7R1,Extended synaptotagmin-1,6.55E-04,6.99E-01
Esyt2,ESYT2_MOUSE|Q3TZZ7,Extended synaptotagmin-2,8.76E-04,8.49E-01
Gpr37l1,ETBR2_MOUSE|Q99JG2,Prosaposin receptor GPR37L1,1.12E-02,4.94E-01
Etfa,ETFA_MOUSE|Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial",1.41E-01,2.75E-01
Etfb,ETFB_MOUSE|Q9DCW4,Electron transfer flavoprotein subunit beta,2.04E-01,4.10E-01
Etfdh,ETFD_MOUSE|Q921G7,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",4.75E-02,4.47E-01
Ethe1,ETHE1_MOUSE|Q9DCM0,"Persulfide dioxygenase ETHE1, mitochondrial",4.92E-03,4.32E-01
Evl,EVL_MOUSE|P70429,Ena/VASP-like protein,1.26E-03,8.51E-01
Evpl,EVPL_MOUSE|Q9D952,Envoplakin,5.48E-04,1.45E+00
Ewsr1,EWS_MOUSE|Q61545,RNA-binding protein EWS,4.64E-03,6.20E-01
Exoc6b,EXC6B_MOUSE|A6H5Z3,Exocyst complex component 6B,2.12E-03,6.49E-01
Exoc1,EXOC1_MOUSE|Q8R3S6,Exocyst complex component 1,8.43E-04,6.90E-01
Exoc2,EXOC2_MOUSE|Q9D4H1,Exocyst complex component 2,6.65E-03,6.09E-01
Exoc3,EXOC3_MOUSE|Q6KAR6,Exocyst complex component 3,8.01E-04,8.69E-01
Exoc4,EXOC4_MOUSE|O35382,Exocyst complex component 4,1.23E-03,6.50E-01
Exoc5,EXOC5_MOUSE|Q3TPX4,Exocyst complex component 5,1.05E-02,5.62E-01
Exoc6,EXOC6_MOUSE|Q8R313,Exocyst complex component 6,3.13E-03,5.74E-01
Exoc7,EXOC7_MOUSE|O35250,Exocyst complex component 7,3.50E-02,4.66E-01
Exoc8,EXOC8_MOUSE|Q6PGF7,Exocyst complex component 8,1.70E-03,6.99E-01
Exosc4,EXOS4_MOUSE|Q921I9,Exosome complex component RRP41,2.93E-01,1.25E-01
